sample	library	run	pair	layout	fqpath
P11	P11A	CL100035945_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L01_P11A_m0_2.fq.gz
P2	P2A	CL100035945_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L01_P2A_m0_1.fq.gz
P2	P2A	CL100035945_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L01_P2A_m0_2.fq.gz
P3	P3A	CL100035945_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L01_P3A_m0_1.fq.gz
P3	P3A	CL100035945_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L01_P3A_m0_2.fq.gz
P4	P4A	CL100035945_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L01_P4A_m0_1.fq.gz
P4	P4A	CL100035945_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L01_P4A_m0_2.fq.gz
P6	P6A	CL100035945_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L01_P6A_m0_1.fq.gz
P6	P6A	CL100035945_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L01_P6A_m0_2.fq.gz
P8	P8A	CL100035945_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L01_P8A_m0_1.fq.gz
P8	P8A	CL100035945_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L01_P8A_m0_2.fq.gz
P9	P9A	CL100035945_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L01_P9A_m0_1.fq.gz
P9	P9A	CL100035945_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L01_P9A_m0_2.fq.gz
P10	P10A	CL100035945_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L02_P10A_m0_1.fq.gz
P10	P10A	CL100035945_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L02_P10A_m0_2.fq.gz
P11	P11A	CL100035945_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L02_P11A_m0_1.fq.gz
P11	P11A	CL100035945_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L02_P11A_m0_2.fq.gz
P2	P2A	CL100035945_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L02_P2A_m0_1.fq.gz
P2	P2A	CL100035945_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L02_P2A_m0_2.fq.gz
P3	P3A	CL100035945_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L02_P3A_m0_1.fq.gz
P3	P3A	CL100035945_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L02_P3A_m0_2.fq.gz
P4	P4A	CL100035945_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L02_P4A_m0_1.fq.gz
P4	P4A	CL100035945_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L02_P4A_m0_2.fq.gz
P6	P6A	CL100035945_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L02_P6A_m0_1.fq.gz
P6	P6A	CL100035945_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L02_P6A_m0_2.fq.gz
P8	P8A	CL100035945_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L02_P8A_m0_1.fq.gz
P8	P8A	CL100035945_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L02_P8A_m0_2.fq.gz
P9	P9A	CL100035945_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L02_P9A_m0_1.fq.gz
P9	P9A	CL100035945_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035945_L02_P9A_m0_2.fq.gz
9262	9262A	CL100035947_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035947_L01_9262A_m0_1.fq.gz
9262	9262A	CL100035947_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035947_L01_9262A_m0_2.fq.gz
9268	9268A	CL100035947_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035947_L01_9268A_m0_1.fq.gz
9268	9268A	CL100035947_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035947_L01_9268A_m0_2.fq.gz
9272	9272A	CL100035947_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035947_L01_9272A_m0_1.fq.gz
9272	9272A	CL100035947_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035947_L01_9272A_m0_2.fq.gz
9275	9275A	CL100035947_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035947_L01_9275A_m0_1.fq.gz
9275	9275A	CL100035947_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035947_L01_9275A_m0_2.fq.gz
9262	9262A	CL100035947_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035947_L02_9262A_m0_1.fq.gz
9262	9262A	CL100035947_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035947_L02_9262A_m0_2.fq.gz
9268	9268A	CL100035947_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035947_L02_9268A_m0_1.fq.gz
9268	9268A	CL100035947_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035947_L02_9268A_m0_2.fq.gz
9272	9272A	CL100035947_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035947_L02_9272A_m0_1.fq.gz
9272	9272A	CL100035947_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035947_L02_9272A_m0_2.fq.gz
9275	9275A	CL100035947_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035947_L02_9275A_m0_1.fq.gz
9275	9275A	CL100035947_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035947_L02_9275A_m0_2.fq.gz
9176	9176A	CL100037282_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L01_9176A_m0_1.fq.gz
9176	9176A	CL100037282_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L01_9176A_m0_2.fq.gz
9253	9253A	CL100037282_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L01_9253A_m0_1.fq.gz
9253	9253A	CL100037282_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L01_9253A_m0_2.fq.gz
9254	9254A	CL100037282_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L01_9254A_m0_1.fq.gz
9254	9254A	CL100037282_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L01_9254A_m0_2.fq.gz
9255	9255A	CL100037282_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L01_9255A_m0_1.fq.gz
9255	9255A	CL100037282_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L01_9255A_m0_2.fq.gz
9257	9257A	CL100037282_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L01_9257A_m0_1.fq.gz
9257	9257A	CL100037282_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L01_9257A_m0_2.fq.gz
9258	9258A	CL100037282_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L01_9258A_m0_1.fq.gz
9258	9258A	CL100037282_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L01_9258A_m0_2.fq.gz
9259	9259A	CL100037282_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L01_9259A_m0_1.fq.gz
9259	9259A	CL100037282_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L01_9259A_m0_2.fq.gz
9260	9260A	CL100037282_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L01_9260A_m0_1.fq.gz
9260	9260A	CL100037282_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L01_9260A_m0_2.fq.gz
9176	9176A	CL100037282_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L02_9176A_m0_1.fq.gz
9176	9176A	CL100037282_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L02_9176A_m0_2.fq.gz
9253	9253A	CL100037282_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L02_9253A_m0_1.fq.gz
9253	9253A	CL100037282_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L02_9253A_m0_2.fq.gz
9254	9254A	CL100037282_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L02_9254A_m0_1.fq.gz
9254	9254A	CL100037282_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L02_9254A_m0_2.fq.gz
9255	9255A	CL100037282_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L02_9255A_m0_1.fq.gz
9255	9255A	CL100037282_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L02_9255A_m0_2.fq.gz
9257	9257A	CL100037282_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L02_9257A_m0_1.fq.gz
9257	9257A	CL100037282_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L02_9257A_m0_2.fq.gz
9258	9258A	CL100037282_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L02_9258A_m0_1.fq.gz
9258	9258A	CL100037282_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L02_9258A_m0_2.fq.gz
9259	9259A	CL100037282_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L02_9259A_m0_1.fq.gz
9259	9259A	CL100037282_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L02_9259A_m0_2.fq.gz
9260	9260A	CL100037282_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L02_9260A_m0_1.fq.gz
9260	9260A	CL100037282_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037282_L02_9260A_m0_2.fq.gz
9176	9176A	CL100037283_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L01_9176A_m0_1.fq.gz
9176	9176A	CL100037283_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L01_9176A_m0_2.fq.gz
9253	9253A	CL100037283_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L01_9253A_m0_1.fq.gz
9253	9253A	CL100037283_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L01_9253A_m0_2.fq.gz
9254	9254A	CL100037283_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L01_9254A_m0_1.fq.gz
9254	9254A	CL100037283_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L01_9254A_m0_2.fq.gz
9255	9255A	CL100037283_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L01_9255A_m0_1.fq.gz
9255	9255A	CL100037283_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L01_9255A_m0_2.fq.gz
9257	9257A	CL100037283_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L01_9257A_m0_1.fq.gz
9257	9257A	CL100037283_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L01_9257A_m0_2.fq.gz
9258	9258A	CL100037283_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L01_9258A_m0_1.fq.gz
9258	9258A	CL100037283_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L01_9258A_m0_2.fq.gz
9259	9259A	CL100037283_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L01_9259A_m0_1.fq.gz
9259	9259A	CL100037283_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L01_9259A_m0_2.fq.gz
9260	9260A	CL100037283_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L01_9260A_m0_1.fq.gz
9260	9260A	CL100037283_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L01_9260A_m0_2.fq.gz
9176	9176A	CL100037283_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L02_9176A_m0_1.fq.gz
9176	9176A	CL100037283_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L02_9176A_m0_2.fq.gz
9253	9253A	CL100037283_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L02_9253A_m0_1.fq.gz
9253	9253A	CL100037283_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L02_9253A_m0_2.fq.gz
9254	9254A	CL100037283_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L02_9254A_m0_1.fq.gz
9254	9254A	CL100037283_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L02_9254A_m0_2.fq.gz
9255	9255A	CL100037283_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L02_9255A_m0_1.fq.gz
9255	9255A	CL100037283_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L02_9255A_m0_2.fq.gz
9257	9257A	CL100037283_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L02_9257A_m0_1.fq.gz
9257	9257A	CL100037283_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L02_9257A_m0_2.fq.gz
9258	9258A	CL100037283_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L02_9258A_m0_1.fq.gz
9258	9258A	CL100037283_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L02_9258A_m0_2.fq.gz
9259	9259A	CL100037283_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L02_9259A_m0_1.fq.gz
9259	9259A	CL100037283_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L02_9259A_m0_2.fq.gz
9260	9260A	CL100037283_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L02_9260A_m0_1.fq.gz
