Table S3 Heterozygosity resources						
Catalog	Common name	Taxonomy	Family	Order	Conservation status	Heterozygosity 
animals	Human Han	Homo sapiens	Primates	Hominidae	Least Concern	0.0007720
animals	Wild turkey	Meleagris gallopavo	Galliformes	Phasianidae	Least Concern	0.0023715
animals	Finless porpoise	Neophocaena phocaenoides	Artiodactyla	Phocoenidae	Vulnerable	0.0008600
animals	Snow leopard	Panthera uncia	Carnivora	Felidae	Vulnerable	0.0002306
animals	Chimpanzee C African	Pan troglodytes troglodytes	Primates	Hominidae	Endangered	0.0017600
animals	Minke whale	Balaenoptera acutorostrata	Artiodactyla	Balaenopteridae	Least Concern	0.0006100
animals	Three-spined stickleback	Gasterosteus aculeatus	Perciformes	Gasterosteidae	Least Concern	0.0026749
animals	Dalmatian pelican	Pelecanus crispus	Pelecaniformes	Pelecanidae	Near Threatened	0.0006000
animals	Dredge oyster	Ostrea chilensis	Ostreoida	Ostreidae	Data deficient	0.0035472
animals	Rhesus macaque	Macaca mulatta	Primates	Cercopithecidae	Least Concern	0.0028671
animals	Mountain gorilla	Gorilla beringei beringei	Primates	Hominidae	Endangered	0.0006479
animals	Collared flycatcher	Ficedula albicollis	Passeriformes	Muscicapidae	Least Concern	0.0038010
animals	Human Dinka	Homo sapiens	Primates	Hominidae	Least Concern	0.0010400
animals	Giant panda	Ailuropoda melanoleuca	Carnivora	Ursidae	Vulnerable	0.0013500
animals	Zebrafish	Danio rerio	Cypriniformes	Danionidae	Least Concern	0.0091740
animals	Common cuttlefish	Sepia officinalis	Sepiida	Sepiidae	Least Concern	0.0005045
animals	Mediterranean mussel	Mytilus galloprovincialis	Mytiloida	Mytilidae	Data deficient	0.0085157
animals	Little egret	Egretta garzetta	Pelecaniformes	Ardeidae	Least Concern	0.0025100
animals	Human Yoruba	Homo sapiens	Primates	Hominidae	Least Concern	0.0010650
animals	Smooth brittle star	Ophioderma longicauda	Ophiurida	Ophiodermatidae	Data deficient	0.0053679
animals	Pacific blue mussel	Mytilus trossulus	Mytiloida	Mytilidae	Least Concern	0.0189849
animals	Fin whale	Balaenoptera physalus	Artiodactyla	Balaenopteridae	Vulnerable	0.0015100
animals	Heath fritillary	Mellicta athalia	Lepidoptera	Nymphalidae	Least Concern	0.0079213
animals	Pond slider	Trachemys scripta	Testudines	Emydidae	Least Concern	0.0034510
animals	Sweat bees	Halictus scabiosae	Hymenoptera	Halictidae	Least Concern	0.0006621
animals	Wild boar	Sus scrofa	Artiodactyla	Suidae	Least Concern	0.0044082
animals	Vervet monkey	Chlorocebus aethiops pygerythrus	Primates	Cercopithecidae	Least Concern	0.0018000
animals	Granada hare	Lepus granatensis	Lagomorpha	Leporidae	Least Concern	0.0012996
animals	Sea squirt	Ciona savignyi	Enterogona	Cionidae	Data deficient	0.0801000
animals	Kiwi	Apteryx mantelli	Apterygiformes	Apterygidae	Vulnerable	0.0015000
animals	Subterranean termite	Reticulitermes grassei	Blattodea	Rhinotermitidae	Data deficient	0.0003654
animals	Blue mussel	Mytilus edulis	Mytiloida	Mytilidae	Data deficient	0.0089401
animals	Naked mole rat	Heterocephalus glaber	Rodentia	Bathyergidae	Least Concern	0.0006815
animals	Great black cormorant	Phalacrocorax carbo	Pelecaniformes	Phalacrocoracidae	Least Concern	0.0013900
animals	Silkmoth	Bombyx mandarina	Lepidoptera	Bombycidae	Least Concern	0.0276330
animals	Spotted gar	Lepisosteus oculatus	Semionotiformes	Lepisosteidae	Least Concern	0.0061840
animals	Bladder snail	Physa acuta/gyrina	NA	Physidae	Least Concern	0.0063641
animals	Long-snouted seahorse	Hippocampus guttulatus	Syngnathiformes	Syngnathidae	Near Threatened	0.0005797
animals	African malaria mosquito	Anopheles gambiae	Diptera	Culicidae	Least Concern	0.0301483
animals	Przewalski's horse	Equus ferus przewalskii	Perissodactyla	Equidae	Data deficient	0.0036261
animals	Chimpanzee W African	Pan troglodytes verus	Primates	Hominidae	Critically Endangered	0.0008750
animals	California two-spot octopus	Octopu bimaculoides	Octopoda	Octopodidae	Data deficient	0.0008000
animals	Woodlouse	Armadillidium nasatum/vulgare	Isopoda	Armadillidiidae	Data deficient	0.0046638
animals	Human Papuan	Homo sapiens	Primates	Hominidae	Least Concern	0.0006510
animals	Trumpet worm	Pectinaria koreni nord	Gentianales	Apocynaceae	Data deficient	0.0054036
animals	Chicken	Gallus gallus	Galliformes	Phasianidae	Least Concern	0.0058836
animals	Bottlenose dolphin	Tursiops truncatus	Artiodactyla	Delphinidae	Least Concern	0.0014200
animals	White Bengal tiger	Panthera tigris tigris	Carnivora	Felidae	Endangered	0.0007288
animals	European pond turtle	Emys orbicularis	Testudines	Emydidae	Near Threatened	0.0009076
animals	Earthworm	Aporrectodea icterica	Haplotaxida	Lumbricidae	Data deficient	0.0087550
animals	Fruit fly	Drosophila melanogaster/pseudoobscura/simulans	Agaricales	Psathyrellaceae	Least Concern	0.0167483
